*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
org.apache.sling.jcr.jcr-wrapper (2.0.0) "Apache Sling Wrapper Bundle for the JCR API" [active, 83] 
org.apache.sling.jcr.oak.server (1.2.0) "Apache Sling JCR Oak Repository Server" [active, 87] 
org.apache.sling.jcr.registration (1.0.6) "Apache Sling JCR Repository Registration" [active, 84] 
org.apache.sling.jcr.repoinit (1.1.8) "Apache Sling JCR RepoInit module" [active, 143] 
org.apache.sling.jcr.resource (3.0.16) "Apache Sling JCR Resource Resolver" [active, 144] 
org.apache.sling.jcr.webconsole (1.0.2) "Apache Sling JCR WebConsole Bundle" [active, 85] 
org.apache.sling.jcr.webdav (2.3.8) "Apache Sling Simple WebDAV Access to repositories" [active, 86] 
org.apache.sling.launchpad.installer (1.2.2) "Apache Sling Launchpad Installer" [active, 16] 
org.apache.sling.models.api (1.3.6) "Apache Sling Models API" [active, 145] 
org.apache.sling.models.impl (1.4.8) "Apache Sling Models Implementation" [active, 146] 
org.apache.sling.models.jacksonexporter (1.0.8) "Apache Sling Models Model Exporter - Jackson" [active, 147] 
org.apache.sling.provisioning.model (1.8.4) "Apache Sling Provisioning Model" [active, 148] 
org.apache.sling.repoinit.parser (1.2.2) "Apache Sling RepoInit Parser" [active, 149] 
org.apache.sling.resourceresolver (1.6.6) "Apache Sling Resource Resolver" [active, 150] 
org.apache.sling.sample.slingshot (0.9.0) "Apache Sling Sample Slingshot" [active, 151] 
org.apache.sling.scripting.api (2.2.0) "Apache Sling Scripting Implementation API" [active, 152] 
org.apache.sling.scripting.core (2.0.54) "Apache Sling Scripting Core implementation" [active, 153] 
org.apache.sling.scripting.el-api (1.0.0) "Apache Sling Wrapper Bundle for Apache Tomcat EL API" [active, 154] 
org.apache.sling.scripting.javascript (3.0.4) "Apache Sling Scripting JavaScript Support" [active, 155] 
org.apache.sling.scripting.jsp-api (1.0.0) "Apache Sling Wrapper Bundle for Apache Tomcat JSP API" [active, 157] 
org.apache.sling.scripting.jsp.taglib (2.3.0) "Apache Sling Scripting JSP Tag Library" [active, 158] 
org.apache.sling.scripting.jsp (2.3.4) "Apache Sling Scripting JSP Support" [active, 156] 
org.apache.sling.scripting.sightly.compiler.java (1.0.26.1_4_0) "Apache Sling Scripting HTL Java Compiler" [active, 161] 
org.apache.sling.scripting.sightly.compiler (1.0.22.1_4_0) "Apache Sling Scripting HTL Compiler" [active, 160] 
org.apache.sling.scripting.sightly.js.provider (1.0.26) "Apache Sling Scripting HTL JavaScript Use Provider" [active, 162] 
org.apache.sling.scripting.sightly.models.provider (1.0.6) "Apache Sling Scripting HTL Sling Models Use Provider" [active, 163] 
org.apache.sling.scripting.sightly.repl (1.0.6) "Apache Sling Scripting HTL Read-Eval-Print Loop Environment" [active, 164] 
org.apache.sling.scripting.sightly (1.0.56.1_4_0) "Apache Sling Scripting HTL Engine" [active, 159] 
org.apache.sling.serviceuser.webconsole (1.0.0) "Apache Sling Service User Web Console" [active, 165] 
org.apache.sling.serviceusermapper (1.4.2) "Apache Sling Service User Mapper" [active, 166] 
org.apache.sling.servlets.get (2.1.36) "Apache Sling Default GET Servlets" [active, 167] 
org.apache.sling.servlets.post (2.3.26) "Apache Sling Default POST Servlets" [active, 168] 
org.apache.sling.servlets.resolver (2.4.22) "Apache Sling Servlet Resolver" [active, 169] 
org.apache.sling.settings (1.3.10) "Apache Sling Settings" [active, 4] 
org.apache.sling.starter.content (1.0.2) "Apache Sling Starter Content" [active, 43] 
org.apache.sling.starter.startup (1.0.6) "Apache Sling Starter Startup Module" [active, 44] 
org.apache.sling.tenant (1.1.2) "Apache Sling Tenant" [active, 179] 
org.apache.sling.validation.api (1.0.0) "Apache Sling Validation Framework API" [active, 170] 
org.apache.sling.validation.core (1.0.4) "Apache Sling Validation Framework Core Implementation" [active, 171] 
org.apache.sling.xss (2.0.12) "Apache Sling XSS Protection" [active, 172] 
org.apache.tika.core (1.19.1) "Apache Tika core" [active, 52] 
org.apache.tika.parsers (1.19.1) "Apache Tika parsers" [active, 53] 
org.ehcache-bundle (3.4.0) "EhCache bundle" [active, 175] 
org.jboss.logging.jboss-logging (3.3.2.Final) "JBoss Logging 3" [active, 191] 
sites.ist.composum.bundle (1.0.0.SNAPSHOT) "Composum Site App Bundle" [active, 184] 
sites.ist.website.bundle (1.0.0.SNAPSHOT) "IST Site App Bundle" [active, 185] 
slf4j.api (1.7.25) "slf4j-api" [active, 9] 

*** Bundles:
Status: Bundle information: 195 bundles in total - all 195 bundles active.

Bundle 0 - System Bundle 6.0.1 (state: Active)
    Symbolic Name: org.apache.felix.framework
    Version: 6.0.1
    Bundle Location: System Bundle
    Last Modification: Thu Jan 01 01:00:00 CET 1970
    Description: This bundle is system specific; it implements various system services.
    Start Level: 0
    Exported Packages: 
        !! java.applet,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.color,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.datatransfer,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.desktop,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.dnd,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.event,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.font,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.geom,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.im,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.im.spi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.image,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.image.renderable,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.awt.print,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.beans,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.beans.beancontext,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.io,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.annotation,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.instrument,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.invoke,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.management,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.module,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.ref,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.lang.reflect,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.math,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.net,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.net.http,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.net.spi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.channels,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.channels.spi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.charset,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.charset.spi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.file,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.file.attribute,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.nio.file.spi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.rmi,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
        !! java.rmi.activation,version=0.0.0.JavaSE_011 -- Overwritten by Boot Delegation
